Subtype	AUC	PR	Precision	Recall	F1-score
PCD-P	0.9355400108137334	0.7214434449233078	0.7251908396946565	0.6934306569343066	0.7089552238805971
PCD-PN	0.8437818952657612	0.5916748562577793	0.6108374384236454	0.6595744680851063	0.6342710997442456
PCD-NF	0.9332188433721482	0.6901783645279839	0.6682464454976303	0.815028901734104	0.734375
PCD-FA	0.9080782922626011	0.7382648777392831	0.7415730337078652	0.6666666666666666	0.7021276595744681
PCD-A	0.9309967966836253	0.8532405097444125	0.8345323741007195	0.760655737704918	0.7958833619210978
