Subtype	AUC	PR	Precision	Recall	F1-score
CD-P	0.8555154750739484	0.5543563713746862	0.574468085106383	0.4879518072289157	0.5276872964169381
CD-PN	0.6980656138989224	0.4371926765788854	0.45614035087719296	0.2805755395683453	0.34743875278396436
CD-NF	0.7481814058956916	0.28688629735281995	0.28703703703703703	0.49206349206349204	0.36257309941520466
CD-FA	0.8793916751575532	0.6692769343602292	0.6730769230769231	0.5303030303030303	0.5932203389830508
CD-A	0.9167057850500716	0.7770105871626347	0.6056782334384858	0.8240343347639485	0.6981818181818182
